央视频道,#genre#
CCTV-1 HD,http://114.250.19.183:4022/rtp/239.3.1.129:8008
CCTV-2 HD,http://114.250.19.183:4022/rtp/239.3.1.60:8084
CCTV-3 HD,http://114.250.19.183:4022/rtp/239.3.1.172:8001
CCTV-4 HD,http://114.250.19.183:4022/rtp/239.3.1.105:8092
CCTV-5 HD,http://114.250.19.183:4022/rtp/239.3.1.173:8001
CCTV-5+ HD,http://114.250.19.183:4022/rtp/239.3.1.130:8004
CCTV-6 HD,http://114.250.19.183:4022/rtp/239.3.1.174:8001
CCTV-7 HD,http://114.250.19.183:4022/rtp/239.3.1.61:8104
CCTV-8 HD,http://114.250.19.183:4022/rtp/239.3.1.175:8001
CCTV-9 HD,http://114.250.19.183:4022/rtp/239.3.1.62:8112
CCTV-10 HD,http://114.250.19.183:4022/rtp/239.3.1.63:8116
CCTV-11 HD,http://114.250.19.183:4022/rtp/239.3.1.152:8120
CCTV-12 HD,http://114.250.19.183:4022/rtp/239.3.1.64:8124
CCTV-13 HD,http://114.250.19.183:4022/rtp/239.3.1.124:8128
CCTV-14 HD,http://114.250.19.183:4022/rtp/239.3.1.65:8132
CCTV-15 HD,http://114.250.19.183:4022/rtp/239.3.1.153:8136
CCTV-16 奥林匹克[HDR],http://114.250.19.183:4022/rtp/239.3.1.183:8001
CCTV-17 HD,http://114.250.19.183:4022/rtp/239.3.1.151:8144
卫视频道,#genre#
BRTV北京卫视HD,http://114.250.19.183:4022/rtp/239.3.1.241:8000
湖南卫视HD,http://114.250.19.183:4022/rtp/239.3.1.132:8012
东方卫视HD,http://114.250.19.183:4022/rtp/239.3.1.136:8032
浙江卫视HD,http://114.250.19.183:4022/rtp/239.3.1.137:8036
江苏卫视HD,http://114.250.19.183:4022/rtp/239.3.1.135:8028
深圳卫视HD,http://114.250.19.183:4022/rtp/239.3.1.134:8020
广东卫视HD,http://114.250.19.183:4022/rtp/239.3.1.142:8048
安徽卫视HD,http://114.250.19.183:4022/rtp/239.3.1.211:8064
天津卫视HD,http://114.250.19.183:4022/rtp/239.3.1.141:1234
重庆卫视HD,http://114.250.19.183:4022/rtp/239.3.1.122:8160
山东卫视HD,http://114.250.19.183:4022/rtp/239.3.1.209:8052
黑龙江卫视HD,http://114.250.19.183:4022/rtp/239.3.1.133:8016
河北卫视HD,http://114.250.19.183:4022/rtp/239.3.1.148:8072
辽宁卫视HD,http://114.250.19.183:4022/rtp/239.3.1.210:8056
湖北卫视HD,http://114.250.19.183:4022/rtp/239.3.1.138:8044
吉林卫视HD,http://114.250.19.183:4022/rtp/239.3.1.240:8172
贵州卫视HD,http://114.250.19.183:4022/rtp/239.3.1.149:8076
东南卫视HD,http://114.250.19.183:4022/rtp/239.3.1.156:8148
江西卫视HD,http://114.250.19.183:4022/rtp/239.3.1.123:8164
中国交通HD,http://114.250.19.183:4022/rtp/239.3.1.188:8001
其他,#genre#
爱上4K[超清],http://114.250.19.183:4022/rtp/239.3.1.236:2000
4K超清[超清],http://114.250.19.183:4022/rtp/239.3.1.249:8001
淘电影HD,http://114.250.19.183:4022/rtp/239.3.1.250:8001
每日影院HD,http://114.250.19.183:4022/# rtp/239.3.1.111:8001
动作影院,http://114.250.19.183:4022/rtp/239.3.1.92:4120
光影,http://114.250.19.183:4022/rtp/239.3.1.84:4120
喜剧影院,http://114.250.19.183:4022/rtp/239.3.1.91:4120
家庭影院,http://114.250.19.183:4022/rtp/239.3.1.93:4120
