央视频道,#genre#
CCTV-1,http://mail.petzhu.top:7000/rtp/239.254.200.45:8008
CCTV-2,http://mail.petzhu.top:7000/rtp/239.254.200.158:6000
CCTV-3,http://mail.petzhu.top:7000/rtp/239.254.200.13:6000
CCTV-4,http://mail.petzhu.top:7000/rtp/239.254.200.190:6307
CCTV-5,http://mail.petzhu.top:7000/rtp/239.254.200.14:6000
CCTV-6,http://mail.petzhu.top:7000/rtp/239.254.200.15:6000
CCTV-7,http://mail.petzhu.top:7000/rtp/239.254.200.159:6000
CCTV-8,http://mail.petzhu.top:7000/rtp/239.254.200.16:6000
CCTV-9,http://mail.petzhu.top:7000/rtp/239.254.200.59:8112
CCTV-10,http://mail.petzhu.top:7000/rtp/239.254.200.160:6000
CCTV-11,http://mail.petzhu.top:7000/rtp/239.254.201.123:8120
CCTV-12,http://mail.petzhu.top:7000/rtp/239.254.200.161:6000
CCTV-13,http://mail.petzhu.top:7000/rtp/239.254.200.9:8264
CCTV-14,http://mail.petzhu.top:7000/rtp/239.254.200.162:6000
CCTV-15,http://mail.petzhu.top:7000/rtp/239.254.201.124:8136
CCTV-奥林匹克4K,http://mail.petzhu.top:7000/rtp/239.254.201.150:6345
CCTV-17,http://mail.petzhu.top:7000/rtp/239.254.201.120:8144
CCTV-5+高清,http://mail.petzhu.top:7000/rtp/239.254.200.46:8004
CGTN,http://mail.petzhu.top:7000/rtp/239.254.200.12:8056
CCTV-3高清,http://mail.petzhu.top:7000/rtp/239.254.201.152:7205
CCTV-5高清,http://mail.petzhu.top:7000/rtp/239.254.201.153:7206
CCTV-6高清,http://mail.petzhu.top:7000/rtp/239.254.201.154:7207
CCTV-8高清,http://mail.petzhu.top:7000/rtp/239.254.201.155:7208
CCTV-16[4K],http://mail.petzhu.top:7000/rtp/239.254.201.150:6345
CCTV-奥林匹克 4K,http://mail.petzhu.top:7000/rtp/239.254.200.7:6346
第一剧场,http://mail.petzhu.top:7000/rtp/239.254.200.93:6227
风云剧场,http://mail.petzhu.top:7000/rtp/239.254.200.94:6228
怀旧剧场,http://mail.petzhu.top:7000/rtp/239.254.200.95:6229
风云音乐,http://mail.petzhu.top:7000/rtp/239.254.200.96:6230
风云足球,http://mail.petzhu.top:7000/rtp/239.254.200.97:6231
高尔夫网球,http://mail.petzhu.top:7000/rtp/239.254.200.98:6232
第一剧场高清,http://mail.petzhu.top:7000/rtp/239.254.201.218:7258
风云剧场高清,http://mail.petzhu.top:7000/rtp/239.254.201.219:7257
怀旧剧场高清,http://mail.petzhu.top:7000/rtp/239.254.201.220:7256
风云音乐高清,http://mail.petzhu.top:7000/rtp/239.254.201.221:7259
风云足球高清,http://mail.petzhu.top:7000/rtp/239.254.201.222:7251
高尔夫网球高清,http://mail.petzhu.top:7000/rtp/239.254.201.223:7252
武术世界高清,http://mail.petzhu.top:7000/rtp/239.254.201.224:7229
兵器科技高清,http://mail.petzhu.top:7000/rtp/239.254.201.225:7249
世界地理高清,http://mail.petzhu.top:7000/rtp/239.254.201.226:7254
文物宝库高清,http://mail.petzhu.top:7000/rtp/239.254.201.227:7230
女性时尚高清,http://mail.petzhu.top:7000/rtp/239.254.201.228:7255
文化精品高清,http://mail.petzhu.top:7000/rtp/239.254.201.229:7260
早期教育高清,http://mail.petzhu.top:7000/rtp/239.254.201.230:7253
梨园高清,http://mail.petzhu.top:7000/rtp/239.254.201.231:7228
CCTV4中文国际欧洲,http://mail.petzhu.top:7000/rtp/239.254.201.205:4220
