中央,#genre#
CCTV-1综合,http://121.25.140.33:8888/rtp/239.253.92.83:8012
CCTV-2财经,http://121.25.140.33:8888/rtp/239.253.92.190:6065
CCTV-3综艺,http://121.25.140.33:8888/rtp/239.253.92.191:6057
CCTV-4亚洲,http://121.25.140.33:8888/rtp/239.253.92.251:6141
CCTV-5体育,http://121.25.140.33:8888/rtp/239.253.92.181:6046
CCTV-6电影,http://121.25.140.33:8888/rtp/239.253.92.193:6058
CCTV-7国防军事,http://121.25.140.33:8888/rtp/239.253.92.194:6059
CCTV-8电视剧,http://121.25.140.33:8888/rtp/239.253.92.195:6060
CCTV-9纪录,http://121.25.140.33:8888/rtp/239.253.92.107:6020
CCTV-10科教,http://121.25.140.33:8888/rtp/239.253.92.196:6061
CCTV-11戏曲,http://121.25.140.33:8888/rtp/239.253.93.153:6321
CCTV-12社会与法,http://121.25.140.33:8888/rtp/239.253.92.197:6062
CCTV-13新闻,http://121.25.140.33:8888/rtp/239.253.92.13:8008
CCTV-14少儿,http://121.25.140.33:8888/rtp/239.253.92.198:6063
CCTV-15音乐,http://121.25.140.33:8888/rtp/239.253.93.154:6322
CCTV-17农业农村,http://121.25.140.33:8888/rtp/239.253.93.150:6318
CCTV-5+体育赛事,http://121.25.140.33:8888/rtp/239.253.92.82:8013
CGTN国际,http://121.25.140.33:8888/rtp/239.253.92.15:8011
卫视,#genre#
湖南卫视高清,http://121.25.140.33:8888/rtp/239.253.92.84:8015
浙江卫视高清,http://121.25.140.33:8888/rtp/239.253.92.90:8020
江苏卫视高清,http://121.25.140.33:8888/rtp/239.253.92.88:8018
北京卫视高清,http://121.25.140.33:8888/rtp/239.253.92.87:8014
东南卫视高清,http://121.25.140.33:8888/rtp/239.253.92.201:6146
东方卫视高清,http://121.25.140.33:8888/rtp/239.253.92.89:8019
天津卫视高清,http://121.25.140.33:8888/rtp/239.253.92.91:8021
深圳卫视高清,http://121.25.140.33:8888/rtp/239.253.92.86:8017
山东卫视高清,http://121.25.140.33:8888/rtp/239.253.92.207:8109
广东卫视高清,http://121.25.140.33:8888/rtp/239.253.92.206:8108
黑龙江卫视高清,http://121.25.140.33:8888/rtp/239.253.92.85:8016
辽宁卫视高清,http://121.25.140.33:8888/rtp/239.253.92.115:6056
安徽卫视高清,http://121.25.140.33:8888/rtp/239.253.92.209:6566
湖北卫视高清,http://121.25.140.33:8888/rtp/239.253.92.210:6567
四川卫视高清,http://121.25.140.33:8888/rtp/239.253.92.16:6043
重庆卫视高清,http://121.25.140.33:8888/rtp/239.253.92.10:6053
河南卫视高清,http://121.25.140.33:8888/rtp/239.253.92.137:6144
金鹰纪实高清,http://121.25.140.33:8888/rtp/239.253.92.103:6054
广西卫视高清,http://121.25.140.33:8888/rtp/239.253.92.76:8043
贵州卫视高清,http://121.25.140.33:8888/rtp/239.253.92.105:6055
江西卫视高清,http://121.25.140.33:8888/rtp/239.253.92.19:6145
吉林卫视高清,http://121.25.140.33:8888/rtp/239.253.92.202:6147
海南卫视高清,http://121.25.140.33:8888/rtp/239.253.93.155:6323
河北卫视高清,http://121.25.140.33:8888/rtp/239.253.92.154:6011
其他,#genre#
BRTV纪实科教,http://121.25.140.33:8888/rtp/239.253.93.190:6358
纪实人文高清,http://121.25.140.33:8888/rtp/239.253.92.99:6013
中国教育-1高清,http://121.25.140.33:8888/rtp/239.253.92.211:6069
中国交通频道,http://121.25.140.33:8888/rtp/239.253.93.189:6357
kaku 少儿,http://121.25.140.33:8888/rtp/239.253.92.162:8054
金鹰卡通,http://121.25.140.33:8888/rtp/239.253.92.163:8055
嘉佳卡通,http://121.25.140.33:8888/rtp/239.253.93.203:6381
优漫卡通,http://121.25.140.33:8888/rtp/239.253.93.204:6382
山东教育,http://121.25.140.33:8888/rtp/239.253.92.106:6135
兵团卫视,http://121.25.140.33:8888/rtp/239.253.93.176:6344
百姓健康,http://121.25.140.33:8888/rtp/239.253.92.199:6568
证券服务,http://121.25.140.33:8888/rtp/239.253.92.124:6569
电视指南,http://121.25.140.33:8888/rtp/239.253.92.17:6078
第一剧场,http://121.25.140.33:8888/rtp/239.253.92.18:6079
风云剧场,http://121.25.140.33:8888/rtp/239.253.92.22:6073
怀旧剧场,http://121.25.140.33:8888/rtp/239.253.92.98:6120
风云音乐,http://121.25.140.33:8888/rtp/239.253.92.111:8060
风云足球,http://121.25.140.33:8888/rtp/239.253.92.110:8061
高尔夫网球,http://121.25.140.33:8888/rtp/239.253.92.117:8062
武术世界,http://121.25.140.33:8888/rtp/239.253.92.141:8064
兵器科技,http://121.25.140.33:8888/rtp/239.253.92.119:8065
世界地理,http://121.25.140.33:8888/rtp/239.253.92.113:8066
老故事,http://121.25.140.33:8888/rtp/239.253.92.132:8068
环球奇观,http://121.25.140.33:8888/rtp/239.253.92.130:8069
文物宝库,http://121.25.140.33:8888/rtp/239.253.92.159:8070
国学,http://121.25.140.33:8888/rtp/239.253.92.158:8071
女性时尚,http://121.25.140.33:8888/rtp/239.253.92.249:6103
文化精品,http://121.25.140.33:8888/rtp/239.253.92.25:6104
早期教育,http://121.25.140.33:8888/rtp/239.253.92.39:6107
梨园,http://121.25.140.33:8888/rtp/239.253.92.152:8086
