山东,#genre#
山东卫视,http://sdqd.sohu.blog:880/chs018.m3u8
山东卫视,http://tv.sohu.blog/proxy/sdsd.php?id=sdws
山东卫视,http://tv.sohu.blog/proxy/sdqlw.php?id=sdws
山东卫视,http://120.224.84.170:8085/hls/8/index.m3u8
山东新闻频道,http://tv.sohu.blog/proxy/sdsd.php?id=xwpd
山东新闻频道,http://tv.sohu.blog/proxy/sdqlw.php?id=xwpd
山东新闻频道,http://sdqd.sohu.blog:880/chs056.m3u8
山东体育休闲,http://tv.sohu.blog/proxy/sdsd.php?id=tyxx
山东体育休闲,http://tv.sohu.blog/proxy/sdqlw.php?id=tyxx
山东体育休闲,http://sdqd.sohu.blog:880/chs057.m3u8
山东生活频道,http://tv.sohu.blog/proxy/sdsd.php?id=shpd
山东生活频道,http://tv.sohu.blog/proxy/sdqlw.php?id=shpd
山东生活频道,http://sdqd.sohu.blog:880/chs069.m3u8
山东综艺频道,http://tv.sohu.blog/proxy/sdsd.php?id=zypd
山东综艺频道,http://tv.sohu.blog/proxy/sdqlw.php?id=zypd
山东综艺频道,http://sdqd.sohu.blog:880/chs068.m3u8
山东文旅频道,http://tv.sohu.blog/proxy/sdsd.php?id=wlpd
山东文旅频道,http://tv.sohu.blog/proxy/sdqlw.php?id=wlpd
山东文旅频道,http://sdqd.sohu.blog:880/chs070.m3u8
山东农科频道,http://tv.sohu.blog/proxy/sdsd.php?id=nkpd
山东农科频道,http://tv.sohu.blog/proxy/sdqlw.php?id=nkpd
山东农科频道,http://sdqd.sohu.blog:880/chs065.m3u8
山东齐鲁频道,http://tv.sohu.blog/proxy/sdsd.php?id=qlpd
山东齐鲁频道,http://tv.sohu.blog/proxy/sdqlw.php?id=qlpd
山东齐鲁频道,http://sdqd.sohu.blog:880/chs055.m3u8
山东齐鲁频道,http://120.224.84.170:8085/hls/9/index.m3u8
山东少儿频道,http://tv.sohu.blog/proxy/sdsd.php?id=sepd
山东少儿频道,http://tv.sohu.blog/proxy/sdqlw.php?id=sepd
山东少儿频道,http://sdqd.sohu.blog:880/chs064.m3u8
山东少儿频道,http://120.224.84.170:8085/hls/10/index.m3u8
山东教育卫视,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
山东教育卫视,http://sdqd.sohu.blog:880/chs062.m3u8
青岛电视台1套,http://sdqd.sohu.blog:880/chs072.m3u8
青岛电视台1套,http://120.224.84.170:8085/hls/11/index.m3u8
青岛电视台1套,http://tv.sohu.blog/proxy/sdqd.php?id=1
青岛电视台2套,http://sdqd.sohu.blog:880/chs071.m3u8
青岛电视台2套,http://tv.sohu.blog/proxy/sdqd.php?id=2
青岛电视台3套,http://sdqd.sohu.blog:880/chs061.m3u8
青岛电视台3套,http://120.224.84.170:8085/hls/3/index.m3u8
青岛电视台3套,http://tv.sohu.blog/proxy/sdqd.php?id=3
青岛电视台4套,http://sdqd.sohu.blog:880/chs060.m3u8
青岛电视台4套,http://tv.sohu.blog/proxy/sdqd.php?id=4
青岛电视台5套,http://sdqd.sohu.blog:880/chs058.m3u8
青岛电视台6套,http://tv.sohu.blog/proxy/sdqd.php?id=6
青岛电视台6套,http://120.224.84.170:8085/hls/6/index.m3u8
城阳综合,http://tv.sohu.blog/proxy/sddft.php?id=qdcyzh
黄岛综合,http://tv.sohu.blog/proxy/sddft.php?id=qdhdzh
黄岛生活,http://tv.sohu.blog/proxy/sddft.php?id=qdhdsh
即墨综合,http://tv.sohu.blog/proxy/sddft.php?id=qdjmzh
即墨生活服务,http://tv.sohu.blog/proxy/sddft.php?id=qdjmsh
胶州综合,http://tv.sohu.blog/proxy/sddft.php?id=qdjzzh
胶州生活,http://tv.sohu.blog/proxy/sddft.php?id=qdjzsh
李沧TV,http://tv.sohu.blog/proxy/sddft.php?id=qdlc
崂山TV,http://tv.sohu.blog/proxy/sddft.php?id=qdls
莱西综合,http://tv.sohu.blog/proxy/sddft.php?id=qdlxzh
莱西生活,http://tv.sohu.blog/proxy/sddft.php?id=qdlxsh
平度新闻综合,http://tv.sohu.blog/proxy/sddft.php?id=qdpdxw
平度生活服务,http://tv.sohu.blog/proxy/sddft.php?id=qdpdsh
