央视频道,#genre#
CCTV1 HD,http://144.255.44.175:4022/udp/239.21.1.120:5002
CCTV2 HD,http://144.255.44.175:4022/udp/239.21.1.151:5002
CCTV3 HD,http://144.255.44.175:4022/udp/239.21.2.45:5002
CCTV4 HD,http://144.255.44.175:4022/udp/239.21.1.154:5002
CCTV5 HD,http://144.255.44.175:4022/udp/239.21.2.46:5002
CCTV5+ HD,http://144.255.44.175:4022/udp/239.21.1.142:5002
CCTV6 HD,http://144.255.44.175:4022/udp/239.21.2.47:5002
CCTV7 HD,http://144.255.44.175:4022/udp/239.21.1.152:5002
CCTV8 HD,http://144.255.44.175:4022/udp/239.21.2.48:5002
CCTV9 HD,http://144.255.44.175:4022/udp/239.21.1.153:5002
CCTV10 HD,http://144.255.44.175:4022/udp/239.21.1.155:5002
CCTV11 HD,http://144.255.44.175:4022/udp/239.21.2.2:5002
CCTV12 HD,http://144.255.44.175:4022/udp/239.21.1.156:5002
CCTV13 HD,http://144.255.44.175:4022/udp/239.21.2.3:5002
CCTV14 HD,http://144.255.44.175:4022/udp/239.21.1.157:5002
CCTV15 HD,http://144.255.44.175:4022/udp/239.21.2.4:5002
CCTV16 HD,http://144.255.44.175:4022/udp/239.21.2.51:5002
CCTV17 HD,http://144.255.44.175:4022/udp/239.21.1.186:5002
CETV1,http://144.255.44.175:4022/udp/239.21.2.7:5002
CETV2,http://144.255.44.175:4022/udp/239.21.2.8:5002
CETV4,http://144.255.44.175:4022/udp/239.21.1.222:5002
卫视频道,#genre#
北京卫视,http://144.255.44.175:4022/udp/239.21.1.88:5002
山东卫视,http://144.255.44.175:4022/udp/239.21.1.52:5002
东方卫视,http://144.255.44.175:4022/udp/239.21.1.111:5002
东南卫视,http://144.255.44.175:4022/udp/239.21.1.113:5002
甘肃卫视,http://144.255.44.175:4022/udp/239.21.2.22:5002
广东卫视,http://144.255.44.175:4022/udp/239.21.1.92:5002
广西卫视,http://144.255.44.175:4022/udp/239.21.1.39:5002
贵州卫视,http://144.255.44.175:4022/udp/239.21.1.166:5002
海南卫视,http://144.255.44.175:4022/udp/239.21.2.14:5002
河北卫视,http://144.255.44.175:4022/udp/239.21.1.168:5002
河南卫视,http://144.255.44.175:4022/udp/239.21.2.37:5002
黑龙江卫视,http://144.255.44.175:4022/udp/239.21.1.91:5002
湖北卫视,http://144.255.44.175:4022/udp/239.21.1.163:5002
湖南卫视,http://144.255.44.175:4022/udp/239.21.1.158:5002
吉林卫视,http://144.255.44.175:4022/udp/239.21.2.49:5002
江苏卫视,http://144.255.44.175:4022/udp/239.21.1.89:5002
江西卫视,http://144.255.44.175:4022/udp/239.21.1.167:5002
内蒙古卫视,http://144.255.44.175:4022/udp/239.21.1.41:5002
宁夏卫视,http://144.255.44.175:4022/udp/239.21.1.44:5002
青海卫视,http://144.255.44.175:4022/udp/239.21.1.43:5002
山西卫视,http://144.255.44.175:4022/udp/239.21.1.33:5002
陕西卫视,http://144.255.44.175:4022/udp/239.21.1.30:5002
深圳卫视,http://144.255.44.175:4022/udp/239.21.1.93:5002
四川卫视,http://144.255.44.175:4022/udp/239.21.2.15:5002
天津卫视,http://144.255.44.175:4022/udp/239.21.1.165:5002
西藏卫视,http://144.255.44.175:4022/udp/239.21.1.46:5002
新疆卫视,http://144.255.44.175:4022/udp/239.21.1.45:5002
云南卫视,http://144.255.44.175:4022/udp/239.21.1.40:5002
浙江卫视,http://144.255.44.175:4022/udp/239.21.1.90:5002
重庆卫视,http://144.255.44.175:4022/udp/239.21.1.233:5002
三沙卫视,http://144.255.44.175:4022/udp/239.21.2.9:5002
厦门卫视,http://144.255.44.175:4022/udp/239.21.2.6:5002
农林卫视,http://144.255.44.175:4022/udp/239.21.1.235:5002
兵团卫视,http://144.255.44.175:4022/udp/239.21.1.234:5002
山东频道,#genre#
山东体育,http://144.255.44.175:4022/udp/239.21.1.141:5002
山东文旅,http://144.255.44.175:4022/udp/239.21.1.57:5002
山东新闻,http://144.255.44.175:4022/udp/239.21.1.54:5002
山东综艺,http://144.255.44.175:4022/udp/239.21.1.55:5002
山东国际,http://144.255.44.175:4022/udp/239.21.1.61:5002
山东教育,http://144.255.44.175:4022/udp/239.21.1.169:5002
山东农科,http://144.255.44.175:4022/udp/239.21.1.183:5002
山东少儿,http://144.255.44.175:4022/udp/239.21.1.208:5002
山东生活,http://144.255.44.175:4022/udp/239.21.1.175:5002
山东齐鲁,http://144.255.44.175:4022/udp/239.21.1.134:5002
海看,http://144.255.44.175:4022/udp/239.21.1.96:5002
海看爱宠,http://144.255.44.175:4022/udp/239.21.1.85:5002
海看大片,http://144.255.44.175:4022/udp/239.21.1.99:5002
海看大片,http://144.255.44.175:4022/udp/239.21.1.121:5002
海看电竞,http://144.255.44.175:4022/udp/239.21.1.135:5002
海看电竞 LD,http://144.255.44.175:4022/udp/239.21.1.191:5002
海看儿歌,http://144.255.44.175:4022/udp/239.21.1.86:5002
海看剧场,http://144.255.44.175:4022/udp/239.21.1.98:5002
海看热播,http://144.255.44.175:4022/udp/239.21.1.100:5002
海看少儿,http://144.255.44.175:4022/udp/239.21.1.97:5002
青岛频道,#genre#
青岛1,http://144.255.44.175:4022/udp/239.21.1.69:5002
青岛2,http://144.255.44.175:4022/udp/239.21.1.70:5002
青岛3,http://144.255.44.175:4022/udp/239.21.1.71:5002
青岛4,http://144.255.44.175:4022/udp/239.21.1.72:5002
青岛5,http://144.255.44.175:4022/udp/239.21.1.73:5002
青岛6,http://144.255.44.175:4022/udp/239.21.1.74:5002
其他频道,#genre#
超清电影 4K,http://144.255.44.175:4022/udp/239.21.1.179:5002
动作影院,http://144.255.44.175:4022/udp/239.21.1.123:5002
喜剧影院,http://144.255.44.175:4022/udp/239.21.1.122:5002
IPTV5+,http://144.255.44.175:4022/udp/239.21.1.161:5002
IPTV经典电影,http://144.255.44.175:4022/udp/239.21.1.124:5002
IPTV魅力时尚,http://144.255.44.175:4022/udp/239.21.1.129:5002
IPTV热播剧场,http://144.255.44.175:4022/udp/239.21.1.128:5002
IPTV少儿动画,http://144.255.44.175:4022/udp/239.21.1.125:5002
IPTV相声小品,http://144.255.44.175:4022/udp/239.21.1.126:5002
